dis_id,dis_type,event_name,location,start_year,start_month,start_day,end_year,end_month,end_day
2014-0310-USA,Storm,Hurricane Iselle,Hawaii province,2014,8,8,2014,8,10
2014-0165-USA,Wildfire,NA,"Hutchinson district (Texas province), San Diego district (California province)",2014,5,11,2014,5,20
2015-0211-USA,Storm,NA,"Texas, Oklahoma, Kansas, Nebraska, Missouri, Colorado, Minnesota, South Dakota provinces",2015,5,6,2015,5,13
2015-0488-USA,Storm,NA,"Austin, Houston districts (Texas province), Lousiana province",2015,10,29,2015,11,3
2015-0155-USA,Storm,NA,"Texas, Louisiana, Alabama, Mississippi, Kentucky, Georgia, Florida provinces",2015,4,24,2015,4,28
2015-0180-USA,Storm,NA,"Kansas, Nebraska, Texas, Oklahoma, Minnesota, Iowa, Wisconsin provinces",2015,5,3,2015,5,5
2015-0245-USA,Storm,NA,"Colorado, Illinois provinces",2015,6,3,2015,6,8
2015-0138-USA,Storm,NA,"Fairdale area (DeKalb district, Illinois province), Rochelle town (Ogle district, Illinois province), Missouri, North Carolina, Indiana, Ohio, Kentucky, Texas, Iowa, Arkansas, Michigan, West Virginia, Wisconsin, Pennsylvania, Oklahoma, Kansas, Tennessee provinces",2015,4,7,2015,4,10
2015-0326-USA,Storm,NA,"Illinois, Indiana, Wisconsin, Minnesota, Ohio, Iowa, Kentucky, Tennessee, Missouri, South Carolina, North Carolina",2015,7,12,2015,7,14
2015-0401-USA,Wildfire,Valley Fire,"California, Idaho, Montana, Oregon, Washington provinces",2015,8,13,2015,8,31
2015-0123-USA,Storm,NA,"Moore area (Cleveland district, Oklahoma province), Osage, Tulsa districts (Oklahoma province), Kansas, Missouri, Arkansas provinces",2015,3,25,2015,3,26
2015-0400-USA,Storm,NA,"Chicago, Lincolnwood towns (Cook district, Illinois province), Wood Dale town (DuPage district, Illinois province), Lancaster town (Coos district, New Hampshire province), Indiana, Ohio, Connecticut, Michigan, Massachusetts, Wisconsin, Rhode Island, Maine, New York provinces",2015,8,2,2015,8,4
2015-0565-USA,Flood,NA,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",2015,12,15,2016,1,6
2015-0046-USA,Storm,Storm Octavia,"Tennessee, Kansas, District of Columbia, Boston, Ohio, Virginia, Georgia, North Carolina, South Carolina provinces",2015,2,16,2015,2,22
2015-0072-USA,Storm,NA,"Illinois, Michigan, Massachusetts, New York, Connecticut, Indiana provinces",2015,1,31,2015,2,4
2015-0558-USA,Storm,NA,"Dallas, Ellis, Collin districts (Texas province), Mississippi, Tennessee, Arkansas, Alabama, Georgia, New Mexico, Missouri, Kentucky, Indiana, Oklahoma, Illinois provinces",2015,12,26,2015,12,30
2015-0531-USA,Storm,NA,"Texas, Kansas, Oklahoma provinces",2015,11,25,2015,12,4
2015-0459-USA,Storm,Joaquin,"South Carolina, North Carolina",2015,10,1,2015,10,13
2015-0026-USA,Storm,NA,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island",2015,1,26,2015,1,28
2015-0212-USA,Flood,NA,"Texas, Oklahoma, Colorado, Arkansas, Kansas, Louisiana, Georgia, Ohio, South Carolina",2015,5,23,2015,5,30
2015-0177-USA,Storm,NA,"Nashville town (Howard district, Arkansas province); Van town (Van Zandt district, Texas province), Delmond town (Douglas district, South Dakota province), Colorado, Oklahoma, Kansas, Iowa provinces",2015,5,6,2015,5,13
2015-0025-USA,Storm,NA,"Illinois, Wisconsin, Pennsylvania provinces",2015,1,6,2015,1,11
2015-0073-USA,Storm,NA,"Massachusetts, New York, Tennessee, Maryland, Virginia, Pennsylvania, Kentucky, North Carolina, Michigan, Rhode Island, New Hampshire, Ohio, South Carolina, Illinois, District of Columbia, Maine, Vermont provinces",2015,2,16,2015,2,22
2015-0122-USA,Storm,NA,"New York, Pennsylvania, Kentucky, West Virginia, Arkansas provinces",2015,3,3,2015,3,5
2015-0186-USA,Flood,NA,"San Marcos area (Hays district, Texas province), Claremore area (Hays district, Oklahoma province)",2015,5,24,2015,5,24
2015-0431-USA,Flood,NA,"Hildale town (Washington district, Utah province), Las Vegas town (Clark district, Nevada province)",2015,9,14,2015,9,14
2015-0421-USA,Wildfire,NA,"Lake, Napa, Sonoma, Butte districts (California province)",2015,9,13,2015,9,20
2015-0613-USA,Wildfire,Butte fire,"Amador, Calaveras (California)",2015,9,9,2015,9,14
2015-0312-USA,Wildfire,NA,"Lake, Napa, Solano, Yolo, Modoc, Colusa districts (California province)",2015,7,22,2015,8,13
2015-0399-USA,Flood,NA,"Hillsborough, Pasco, Pinellas, Dixie, Taylor districts (Florida province)",2015,7,24,2015,8,5
